"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/05/2021","66.96","66.58","67.41","66.41","","0.56%"
"30/05/2021","66.59","66.70","66.75","66.53","","0.41%"
"28/05/2021","66.32","66.95","67.52","66.17","390.46K","-0.79%"
"27/05/2021","66.85","66.16","66.92","65.47","337.54K","0.97%"
"26/05/2021","66.21","66.04","66.43","65.25","376.21K","0.21%"
"25/05/2021","66.07","66.02","66.51","65.41","497.39K","0.03%"
"24/05/2021","66.05","63.87","66.14","63.63","466.65K","3.88%"
"21/05/2021","63.58","61.89","64.07","61.56","530.83K","2.47%"
"20/05/2021","62.05","63.39","63.96","61.89","29.62K","-2.07%"
"19/05/2021","63.36","65.28","65.35","61.95","101.90K","-3.25%"
"18/05/2021","65.49","66.33","67.01","64.11","167.35K","-1.18%"
"17/05/2021","66.27","65.50","66.43","64.83","268.48K","1.38%"
"14/05/2021","65.37","63.83","65.62","63.33","383.75K","2.43%"
"13/05/2021","63.82","65.75","65.81","63.09","547.69K","-3.42%"
"12/05/2021","66.08","65.46","66.63","64.97","508.52K","1.23%"
"11/05/2021","65.28","64.90","65.50","63.68","514.95K","0.55%"
"10/05/2021","64.92","65.57","65.75","63.95","448.34K","0.03%"
"07/05/2021","64.90","64.90","65.24","63.90","431.42K","0.29%"
"06/05/2021","64.71","65.27","65.98","64.50","389.21K","-1.40%"
"05/05/2021","65.63","66.45","66.76","64.92","460.07K","-0.09%"
"04/05/2021","65.69","64.53","66.19","64.29","370.21K","1.86%"
"03/05/2021","64.49","63.64","64.68","62.91","285.97K","1.43%"
"30/04/2021","63.58","64.88","64.95","63.08","400.52K","-2.20%"
"29/04/2021","65.01","63.70","65.47","63.65","384.49K","1.80%"
"28/04/2021","63.86","63.04","64.53","62.67","387.68K","1.46%"
"27/04/2021","62.94","61.97","63.30","61.91","361.54K","1.66%"
"26/04/2021","61.91","62.06","62.31","60.66","366.87K","-0.37%"
"23/04/2021","62.14","61.65","62.43","61.25","345.41K","1.16%"
"22/04/2021","61.43","61.11","61.87","60.61","344.70K","0.13%"
"21/04/2021","61.35","62.39","62.56","60.86","431.49K","-1.75%"
"20/04/2021","62.44","63.47","64.25","61.50","33.04K","-1.48%"
"19/04/2021","63.38","62.98","63.63","62.63","74.38K","0.40%"
"16/04/2021","63.13","63.32","63.88","62.83","87.80K","-0.52%"
"15/04/2021","63.46","62.83","63.57","62.53","243.37K","0.49%"
"14/04/2021","63.15","60.44","63.44","60.38","419.81K","4.94%"
"13/04/2021","60.18","59.64","60.59","59.64","349.73K","0.80%"
"12/04/2021","59.70","59.35","60.77","58.73","410.22K","0.64%"
"09/04/2021","59.32","59.76","59.95","59.10","351.44K","-0.47%"
"08/04/2021","59.60","59.52","59.93","58.82","419.91K","-0.28%"
"07/04/2021","59.77","59.26","60.04","58.12","475.54K","0.74%"
"06/04/2021","59.33","58.80","60.90","58.62","457.35K","1.16%"
"05/04/2021","58.65","61.50","61.50","57.63","438.86K","-4.56%"
"01/04/2021","61.45","59.49","61.75","58.86","605.57K","3.87%"
"31/03/2021","59.16","60.45","61.17","58.85","414.16K","-2.30%"
"30/03/2021","60.55","61.96","62.27","59.94","388.19K","-1.64%"
